Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Gibraltar	1,436,038	
	                  Greece	37,854,344	
	                  Grenada	4,216	
	                  Guadeloupe	479,524	
	                  Guatemala	932,267	
	                  Guiana, French	241,556	
	                  Guinea	23,709	
	                  Guyana	4,081	
	                  Haiti	33,710	
	                  Honduras	327,085	
	                  Hong Kong	1,050,624,795	
	                  Hungary	3,712,511	
	                  Iceland	3,831,316	
	                  India	15,069,744	
	                  Indonesia	2,031,327	
	                  Iran	3,811,278	
	                  Iraq	3,100	
	                  Ireland	4,066,946	
	                  Israel	18,898,956	
	                  Italy	806,696,865	
	                  Jamaica	4,017,542	
	                  Japan	630,993,779	
	                  Jordan	1,745,709	
	                  Kenya	2,529,789	
	                  Kiribati	1,399	
	                  Korea (North)	897,808	
	                  Korea (South)	42,441,306	
	                  Kuwait	11,296,929	
	                  Lebanon	16,002,873	
	                  Liberia	400,304	
	                  Libya	3,692,603	
	                  Macau	95,215	
	                  Madagascar	60,733	
	                  Malawi	17,835	
	                  Malaysia	47,704,824	
	                  Maldives	695,418	
	                  Mali	4,070	
	                  Malta	1,194,821	
	                  Martinique	259,023	
	                  Mauritania	11,496	
	                  Mauritius	2,024,245	
	                  Mexico	37,843,946	
	                  Miquelon	1,055,901	
	                  Morocco	3,491,370	
	                  Mozambique	33,888	
	                  Namibia	192,670	
	                  Nauru	902	
	                  Nepal	81,801	
	                  Netherlands	59,449,840	
	                  New Zealand	1,231,699	
	                  Nicaragua	138,749	
	                  Niger	113,980	
	                  Nigeria	3,013,084	
	                  Norway	17,560,850	
	                  Oman	10,928,647	
	                  Pakistan	14,119,622	
	                  Panama	38,245,565	
	                  Papua	122,293	
	                  Paraguay	1,032,932	
	                  Peru	105,309	
	                  Philippines	4,473,585	
	                  Poland	6,135,964	
	                  Polynesia, Fr.	499,329	
	                  Portugal	35,943,664	
	                  Qatar	50,605,023	
	                  Réunion	142,541	
	                  Romania	94,644	
	                  Rwanda	30,130	
	                  Saint Helena	9,285	
	                  Saudi Arabia	136,804,702	
	                  Senegal	376,926	
	                  Seychelles	2,089	
	                  Sierra Leone	32,677	
	                  Singapore	298,791,048	
	                  South Africa	9,895,708	
	                  Spain	199,697,328	
	                  Sri Lanka	673,671	
	                  St Kitts	156,428	
	                  St Lucia	14,694	
	                  St Vincent	10,568	
	                  Sudan	5,591	
	                  Suriname	101,978	
	                  Sweden	44,777,676	
	                  Syria	1,936,119	
	                  Taiwan	128,837,014	
	                  Tanzania	978,948	
	                  Thailand	205,815,115	
	                  Togo	42,627	
	                  Trinidad	255,432	
	                  Tunisia	784,242	
	                  Turkey	18,513,850	
	                  Turks	2,844	
	                  Uganda	207,864	
	                  United Kingdom	249,008,943	
	                  Uruguay	1,047,794	
	                  USA	891,260,236	
	                  Vanuatu	69,968	
	                  Venezuela	15,689,851	
	                  Viet Nam	1,205	
	                  Yemen	965,096	
	                  Zambia	248,188	
	                  Zimbabwe	208,385	
1992	                  Afghanistan	133,005	
	                  Albania	2,000	
	                  Algeria	157,237	
	                  Amer. Virgin	31,178,706	
	                  Andorra	4,575,859	
	                  Angola	457,380	
	                  Anguilla	64,707	
	                  Antigua	691,095	
	                  Argentina	9,669,265	
	                  Australia	66,738,091	
	                  Austria	109,663,533	
	                  Bahamas	18,539,818	
	                  Bahrain	47,803,712	
	                  Bangladesh	13,376	
	                  Barbados	1,452,507	
	                  Belarus	779,200	
	                  Belize	285,738	
	                  Benin	154,963	
	                  Bermuda	2,496,323	
	                  Bolivia	484,867	
	                  Bosnia-Herzeg.	347,164	
	                  Botswana	600	
	                  Brazil	14,960,291	
	                  Brunei	4,154,245	
	                  Bulgaria	1,305,610	
	                  Burkina Faso	3,720	
	                  Burundi	27,110	
	                  Cabo Verde	14,893	
	                  Cambodia	38,704	
	                  Cameroon	272,031	
	                  Canada	33,367,594	
	                  Canary Islands	422,726	
	                  Cayman Islands	3,746,051	
	                  Central Africa	2,730	
	                  Chile	7,575,961	
	                  China	11,544,072	
	                  Colombia	15,410,706	
	                  Congo, Rep. of	34,615	
	                  Costa Rica	231,251	
	                  Côte d'Ivoire	1,368,799	
	                  Croatia	1,164,620	
	                  Cuba	713,692	
	                  Cyprus	6,494,824	
	                  Denmark	23,208,375	
	                  Djibouti	162,957	
	                  Dominica	929	
	                  Dominican Rep.	897,130	
	                  Ecuador	547,274	
	                  Egypt	5,973,769	
	                  El Salvador	157,696	
	                  Emirates, Arab	120,038,111	
	                  Ethiopia	9,756	
	                  Fiji	247,615	
	                  Finland	10,250,517	
	                  France	425,780,098	
	                  Gabon	68,132	
	                  Germany	702,202,706	
	                  Ghana	302,619	
	                  Gibraltar	1,064,259	
	                  Greece	50,857,912	
	                  Grenada	1,500	
	                  Guadeloupe	1,256,910	
	                  Guatemala	1,042,732	
	                  Guiana, French	218,245	
	                  Guinea	50,650	
	                  Guinea-Bissau	6,620	
	                  Guyana	4,546	
	                  Haiti	143,771	
	                  Honduras	310,604	
	                  Hong Kong	1,241,433,413	
	                  Hungary	6,164,905	
	                  Iceland	2,841,354	
	                  India	12,409,473	
	                  Indonesia	176,768	
	                  Iran	6,321,124	
	                  Ireland	4,027,085	
	                  Israel	21,788,151	
	                  Italy	843,771,708	
	                  Jamaica	4,770,176	
	                  Japan	574,624,005	
	                  Jordan	3,504,842	
	                  Kazakhstan	30,651	
	                  Kenya	1,138,951	
	                  Korea (North)	3,123,565	
	                  Korea (South)	38,934,988	
	                  Kuwait	29,851,797	
	                  Kyrgyz, Rep.	6,480	
	                  Latvia	37,830	
	                  Lebanon	13,690,365	
	                  Liberia	98,599	
	                  Libya	2,575,810	
	                  Macau	219,426	
	                  Macedonia	287,740	
	                  Madagascar	9,310	
	                  Malawi	3,891	
	                  Malaysia	52,745,532	
	                  Maldives	873,203	
	                  Mali	520	
	                  Malta	2,064,004	
	                  Martinique	248,854	
	                  Mauritania	99,901	
	                  Mauritius	4,496,785	
	                  Mexico	43,554,167	
	                  Morocco	7,184,147	
	                  Mozambique	7,147	
	                  Myanmar	12,304	
	                  Namibia	138,685	
	                  Nepal	85,250	
	                  Netherlands	62,856,223	
	                  New Zealand	1,316,918	
	                  Nicaragua	96,449	
	                  Niger	19,221	
	                  Nigeria	2,824,205	
	                  Norway	21,005,130	
	                  Oman	19,908,477	
	                  Pakistan	19,094,275	
	                  Panama	25,568,723	
	                  Papua	8,794	
	                  Paraguay	5,566,377	
	                  Peru	147,681	
	                  Philippines	9,997,446	
	                  Poland	8,073,272	
	                  Polynesia, Fr.	432,928	
	                  Portugal	42,803,593	
	                  Qatar	42,547,532	
	                  Réunion	137,254	
	                  Romania	309,614	
	                  Russia	3,767,292	
	                  Saudi Arabia	152,367,583	
	                  Senegal	686,532	
	                  Serbia	370,330	
	                  Seychelles	113,308	
	                  Sierra Leone	24,928	
	                  Singapore	318,341,959	
	                  Slovenia	7,565,977	
	                  Solomon Islands	826	
	                  South Africa	10,579,761	
	                  Spain	208,725,491	
	                  Sri Lanka	818,229	
	                  St Lucia	3,815	
	                  St Vincent	410	
	                  Sudan	20,650	
	                  Suriname	24,352	
	                  Swaziland	14,500	
	                  Sweden	39,042,246	
	                  Syria	4,609,943	
	                  Taiwan	220,707,708	
	                  Tanzania	1,243,592	
	                  Thailand	219,644,849	
	                  Togo	64,698	
	                  Tonga	3,356	
	                  Trinidad	285,789	
	                  Tunisia	373,022	
	                  Turkey	25,273,298	
	                  Turks	28,412	
	                  Uganda	156,134	
	                  Ukraine	475,799	
	                  United Kingdom	280,085,376	
	                  Uruguay	1,434,321	
	                  USA	805,546,147	
	                  Vanuatu	41,499	
	                  Venezuela	22,066,241	
	                  Viet Nam	1,473,810	
	                  Yemen	1,279,460	
	                  Zambia	127,873	
	                  Zimbabwe	37,361	
1993	                  Afghanistan	152,069	
	                  Albania	2,055	
	                  Algeria	75,849	
	                  Amer. Virgin	25,833,631	
	                  Andorra	2,240,468	
	                  Angola	43,526	
	                  Anguilla	77,175	
	                  Antigua	179,117	
	                  Argentina	9,897,777	
	                  Armenia	2,823	
	                  Australia	70,958,053	
	                  Austria	117,286,719	
	                  Bahamas	11,231,370	
	                  Bahrain	37,311,705	
	                  Bangladesh	42,417	
	                  Barbados	1,906,996	
	                  Belarus	107,108	
	                  Belize	314,669	
	                  Benin	38,180	
	                  Bermuda	2,549,608	
	                  Bolivia	422,634	
	                  Bosnia-Herzeg.	184,027	
	                  Botswana	4,800	
	                  Brazil	14,430,557	
	                  Brunei	1,016,350	
	                  Bulgaria	1,645,167	
	                  Burkina Faso	117,259	
	                  Burundi	45,205	
	                  Cabo Verde	10,876	
	                  Cambodia	1,044,972	
	                  Cameroon	206,165	
	                  Canada	40,969,881	
	                  Canary Islands	152,865	
	                  Cayman Islands	4,063,973	
	                  Chile	7,726,641	
	                  China	29,839,559	
	                  Colombia	13,613,990	
	                  Congo, Rep. of	239,143	
	                  Costa Rica	499,111	
	                  Côte d'Ivoire	492,027	
	                  Croatia	791,029	
	                  Cuba	190,997	
	                  Cyprus	3,757,006	
	                  Czech Republic	4,437,906	
	                  Denmark	21,719,211	
	                  Djibouti	70,604	
	                  Dominican Rep.	404,531	
	                  Ecuador	685,085	
	                  Egypt	6,295,614	
	                  El Salvador	115,702	
	                  Emirates, Arab	101,763,857	
	                  Ethiopia	33,593	
	                  Faeroe Islands	1,759	
	                  Fiji	247,405	
	                  Finland	6,929,194	
	                  France	421,415,648	
	                  Gabon	3,003,241	
	                  Gambia	2,000	
	                  Germany	709,157,218	
	                  Ghana	121,705	
	                  Gibraltar	1,628,475	
	                  Greece	46,992,806	
	                  Grenada	166	
	                  Guadeloupe	1,163,394	
	                  Guatemala	607,761	
	                  Guiana, French	98,086	
	                  Guinea	6,765	
	                  Guyana	4,996	
	                  Haiti	325,056	
	                  Honduras	165,896	
