Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Israel	42,807,069	
	                  Italy	745,657,382	
	                  Jamaica	11,600,821	
	                  Japan	986,331,863	
	                  Jordan	11,485,542	
	                  Kazakhstan	8,101,772	
	                  Kenya	757,127	
	                  Korea (North)	2,874,849	
	                  Korea (South)	62,116,847	
	                  Kuwait	58,319,093	
	                  Kyrgyz, Rep.	34,347	
	                  Latvia	5,925,929	
	                  Lebanon	19,823,489	
	                  Liberia	1,547,872	
	                  Libya	4,262,810	
	                  Lithuania	1,453,295	
	                  Luxembourg	10,756,874	
	                  Macau	129,766	
	                  Macedonia	348,383	
	                  Madagascar	74,375	
	                  Malawi	34,058	
	                  Malaysia	25,932,074	
	                  Maldives	830,309	
	                  Mali	4,950	
	                  Malta	3,892,746	
	                  Mariana, North.	20,390	
	                  Marshall Isl.	62,963	
	                  Martinique	78,092	
	                  Mauritania	3,174	
	                  Mauritius	3,276,086	
	                  Mexico	88,469,722	
	                  Moldova	4,733,217	
	                  Mongolia	2,886,712	
	                  Morocco	10,017,877	
	                  Mozambique	75,523	
	                  Myanmar	3,948	
	                  Namibia	308,598	
	                  Nepal	897,028	
	                  Netherlands	90,419,327	
	                  New Caledonia	77,910	
	                  New Zealand	3,043,542	
	                  Nicaragua	57,498	
	                  Niger	3,045	
	                  Nigeria	16,898,397	
	                  Norway	18,142,306	
	                  Oman	23,618,787	
	                  Pakistan	16,389,379	
	                  Panama	44,024,086	
	                  Papua	16,768	
	                  Paraguay	2,311,267	
	                  Peru	1,243,887	
	                  Philippines	13,682,659	
	                  Poland	24,446,947	
	                  Polynesia, Fr.	76,291	
	                  Portugal	65,921,259	
	                  Qatar	52,637,380	
	                  Réunion	453,748	
	                  Romania	4,672,376	
	                  Russia	149,244,409	
	                  Sandwich	31,365	
	                  San Marino	266,803	
	                  Sao Tomé	557,448	
	                  Saudi Arabia	164,249,138	
	                  Senegal	26,689	
	                  Sierra Leone	41,510	
	                  Singapore	395,203,963	
	                  Slovakia	1,288,661	
	                  Slovenia	3,316,138	
	                  South Africa	14,942,860	
	                  Spain	350,200,873	
	                  Sri Lanka	678,196	
	                  St Kitts	82,436	
	                  St Lucia	1,560,413	
	                  St Vincent	9,684	
	                  Sudan	54,523	
	                  Suriname	81,453	
	                  Sweden	45,131,370	
	                  Syria	5,888,927	
	                  Taiwan	183,925,148	
	                  Tajikistan	17,100	
	                  Tanzania	1,141,468	
	                  Thailand	187,922,458	
	                  Trinidad	118,236	
	                  Tunisia	2,666,117	
	                  Turkey	68,651,261	
	                  Turkmenistan	11,947	
	                  Turks	710,867	
	                  Uganda	31,569	
	                  Ukraine	30,526,336	
	                  United Kingdom	584,483,876	
	                  Uruguay	11,705,896	
	                  USA	1,664,495,055	
	                  Uzbekistan	3,576,486	
	                  Vanuatu	5,435	
	                  Venezuela	9,989,923	
	                  Viet Nam	1,754,289	
	                  Yemen	2,799,181	
	                  Zambia	192,277	
	                  Zimbabwe	76,909	
2004	                  Afghanistan	841,544	
	                  Albania	164,634	
	                  Algeria	3,035,017	
	                  Am. Oceania	14,768,186	
	                  Amer. Virgin	31,991,307	
	                  Andorra	285,761	
	                  Angola	257,329	
	                  Antigua	3,631,972	
	                  Argentina	25,568,360	
	                  Armenia	1,392,902	
	                  Aruba	11,980,096	
	                  Australia	92,206,491	
	                  Austria	91,244,757	
	                  Azerbaijan	6,436,379	
	                  Bahamas	22,956,534	
	                  Bahrain	48,603,110	
	                  Bangladesh	684,526	
	                  Barbados	5,495,774	
	                  Belarus	2,155,396	
	                  Belgium	67,556,044	
	                  Belize	525,162	
	                  Bermuda	5,387,253	
	                  Bolivia	997,540	
	                  Bosnia-Herzeg.	718,136	
	                  Botswana	2,016	
	                  Bouvet Island	629	
	                  Brazil	24,595,393	
	                  Brit. Virgin	21,990,299	
	                  Brunei	655,042	
	                  Bulgaria	3,080,384	
	                  Cambodia	267	
	                  Cameroon	76,000	
	                  Canada	63,081,341	
	                  Canary Islands	910,469	
	                  Cayman Islands	16,856,869	
	                  Chile	8,994,464	
	                  China	279,898,014	
	                  Colombia	8,609,274	
	                  Congo, Rep. of	30,028	
	                  Congo (RDC)	254,359	
	                  Costa Rica	1,827,872	
	                  Côte d'Ivoire	754,648	
	                  Croatia	5,046,475	
	                  Cuba	836,762	
	                  Cyprus	5,528,150	
	                  Czech Republic	13,322,921	
	                  Denmark	19,343,666	
	                  Djibouti	18,503	
	                  Dominican Rep.	2,779,973	
	                  East Timor	105,608	
	                  Ecuador	1,694,076	
	                  Egypt	22,808,104	
	                  El Salvador	434,248	
	                  Emirates, Arab	302,081,060	
	                  Eritrea	9,122	
	                  Estonia	1,052,661	
	                  Ethiopia	149,587	
	                  Fiji	178	
	                  Finland	13,282,005	
	                  Fr. Southern T.	103,880	
	                  France	616,664,154	
	                  Gabon	1,553,729	
	                  Gambia	9,400	
	                  Georgia	434,378	
	                  Germany	566,569,570	
	                  Ghana	87,849	
	                  Gibraltar	1,587,665	
	                  Greece	74,961,976	
	                  Greenland	655	
	                  Grenada	50	
	                  Guadeloupe	4,651,109	
	                  Guatemala	1,981,003	
	                  Guiana, French	16,141	
	                  Guinea	32,955	
	                  Guinea, Equat.	164,800	
	                  Guyana	1,854	
	                  Haiti	350,052	
	                  Honduras	436,629	
	                  Hong Kong	1,658,515,512	
	                  Hungary	13,086,462	
	                  Iceland	3,231,707	
	                  India	30,522,490	
	                  Indonesia	4,343,820	
	                  Iran	23,023,775	
	                  Iraq	179,910	
	                  Ireland	5,341,853	
	                  Israel	49,812,958	
	                  Italy	782,775,083	
	                  Jamaica	12,410,312	
	                  Japan	990,881,326	
	                  Jordan	17,180,078	
	                  Kazakhstan	8,812,911	
	                  Kenya	801,665	
	                  Korea (North)	108,708	
	                  Korea (South)	73,624,387	
	                  Kuwait	61,483,646	
	                  Kyrgyz, Rep.	51,583	
	                  Latvia	4,980,537	
	                  Lebanon	20,639,435	
	                  Liberia	7,549,834	
	                  Libya	3,355,591	
	                  Lithuania	1,513,107	
	                  Luxembourg	7,120,064	
	                  Macau	6,561	
	                  Macedonia	404,727	
	                  Madagascar	168,186	
	                  Malawi	3,254	
	                  Malaysia	34,769,930	
	                  Maldives	817,353	
	                  Mali	6,169	
	                  Malta	3,913,447	
	                  Mariana, North.	16,289	
	                  Marshall Isl.	1,973,762	
	                  Martinique	128,908	
	                  Mauritania	15,286	
	                  Mauritius	4,126,837	
	                  Mexico	98,162,617	
	                  Moldova	4,156,489	
	                  Mongolia	185,106	
	                  Morocco	11,761,244	
	                  Mozambique	6,249	
	                  Myanmar	1,656	
	                  Namibia	12,672	
	                  Nepal	872,730	
	                  Netherlands	91,862,731	
	                  New Caledonia	41,170	
	                  New Zealand	3,244,287	
	                  Nicaragua	126,493	
	                  Nigeria	14,167,914	
	                  Norway	19,132,301	
	                  Oman	18,111,429	
	                  Pakistan	24,432,782	
	                  Palestine	3,266,889	
	                  Panama	52,274,241	
	                  Papua	10,331	
	                  Paraguay	1,539,742	
	                  Peru	2,368,540	
	                  Philippines	15,934,463	
	                  Pitcairn Isl.	28,994	
	                  Poland	22,584,286	
	                  Polynesia, Fr.	84,920	
	                  Portugal	65,808,051	
	                  Qatar	63,708,352	
	                  Réunion	423,871	
	                  Romania	5,854,505	
	                  Russia	174,776,445	
	                  Samoa	48,486	
	                  San Marino	107,697	
	                  Sao Tomé	269,596	
	                  Saudi Arabia	166,240,670	
	                  Senegal	411,108	
	                  Seychelles	63,433	
	                  Sierra Leone	151,677	
	                  Singapore	439,312,870	
	                  Slovakia	1,612,970	
	                  Slovenia	5,171,597	
	                  Solomon Islands	17,125	
	                  South Africa	19,713,743	
	                  Spain	379,452,384	
	                  Sri Lanka	1,098,875	
	                  St Kitts	76,071	
	                  St Lucia	3,514,883	
	                  St Vincent	531,137	
	                  Sudan	172,658	
	                  Suriname	325,675	
	                  Sweden	34,505,750	
	                  Syria	11,411,012	
	                  Taiwan	206,419,478	
	                  Tanzania	236,469	
	                  Thailand	195,970,312	
	                  Togo	1,200	
	                  Trinidad	138,032	
	                  Tunisia	1,660,891	
	                  Turkey	85,875,858	
	                  Turkmenistan	88,366	
	                  Turks	1,475,401	
	                  Uganda	46,388	
	                  Ukraine	42,739,280	
	                  United Kingdom	557,458,784	
	                  Uruguay	12,098,930	
	                  USA	1,881,815,657	
	                  Uzbekistan	4,386,775	
	                  Venezuela	14,701,359	
	                  Viet Nam	1,052,386	
	                  Western Sahara	40,000	
	                  Yemen	2,468,834	
	                  Zambia	215,479	
	                  Zimbabwe	95,334	
2005	                  Afghanistan	511,826	
	                  Albania	349,095	
	                  Algeria	2,727,092	
	                  Am. Oceania	19,511,997	
	                  Amer. Virgin	35,448,475	
	                  Andorra	344,644	
	                  Angola	270,312	
	                  Antigua	4,545,054	
	                  Argentina	33,076,297	
	                  Armenia	2,123,275	
	                  Aruba	10,250,503	
	                  Australia	116,822,514	
	                  Austria	105,772,956	
	                  Azerbaijan	3,960,325	
	                  Bahamas	20,658,085	
	                  Bahrain	43,297,331	
	                  Bangladesh	357,856	
	                  Barbados	6,454,066	
	                  Belarus	1,883,521	
	                  Belgium	67,373,637	
	                  Belize	1,790,753	
	                  Benin	174	
	                  Bermuda	4,541,757	
	                  Bolivia	1,351,744	
	                  Bosnia-Herzeg.	1,233,730	
	                  Brazil	30,111,462	
	                  Brit. Virgin	9,051,356	
	                  Bulgaria	4,719,707	
	                  Cabo Verde	2,580	
	                  Cambodia	134,020	
	                  Canada	66,263,375	
	                  Canary Islands	742,140	
	                  Cayman Islands	18,099,221	
	                  Chile	8,517,172	
	                  China	351,588,793	
	                  Cocos (Keeling)	14,317	
	                  Colombia	10,414,527	
	                  Congo, Rep. of	77,070	
	                  Congo (RDC)	66,446	
	                  Costa Rica	4,051,584	
	                  Côte d'Ivoire	394,172	
	                  Croatia	8,717,198	
	                  Cuba	253,641	
	                  Cyprus	5,128,174	
	                  Czech Republic	11,069,662	
	                  Denmark	27,415,883	
	                  Djibouti	40,239	
	                  Dominica	693,750	
	                  Dominican Rep.	4,038,471	
	                  Ecuador	1,930,671	
	                  Egypt	26,160,670	
	                  El Salvador	635,256	
	                  Emirates, Arab	347,297,609	
	                  Eritrea	11,865	
	                  Estonia	859,262	
	                  Ethiopia	244,133	
	                  Fiji	123,410	
	                  Finland	14,178,829	
	                  Fr. Southern T.	187,432	
	                  France	670,676,390	
	                  Gabon	1,423,365	
	                  Gambia	13,544	
	                  Georgia	1,371,291	
	                  Germany	635,199,042	
	                  Ghana	102,145	
	                  Gibraltar	970,889	
	                  Greece	75,367,670	
	                  Guadeloupe	5,114,678	
	                  Guatemala	1,604,228	
	                  Guiana, French	3,172	
	                  Guinea	51,559	
	                  Guinea, Equat.	3,172	
	                  Haiti	431,316	
	                  Holy See	349,533	
	                  Honduras	601,207	
	                  Hong Kong	1,786,158,423	
	                  Hungary	16,889,592	
	                  Iceland	2,606,306	
	                  India	39,149,915	
	                  Indonesia	4,803,360	
	                  Iran	25,754,095	
	                  Iraq	997,325	
	                  Ireland	4,107,921	
	                  Israel	49,382,591	
	                  Italy	854,715,973	
	                  Jamaica	10,480,207	
	                  Japan	1,147,186,026	
	                  Jordan	21,857,552	
	                  Kazakhstan	9,282,123	
	                  Kenya	1,994,242	
	                  Korea (North)	316,890	
	                  Korea (South)	92,375,867	
	                  Kuwait	55,360,679	
	                  Kyrgyz, Rep.	268,668	
	                  Laos	225	
	                  Latvia	5,576,050	
	                  Lebanon	21,964,246	
	                  Liberia	11,647,188	
	                  Libya	3,608,293	
	                  Lithuania	1,810,194	
	                  Luxembourg	10,076,627	
	                  Macau	1,786,485	
	                  Macedonia	394,494	
	                  Madagascar	29,559	
	                  Malawi	111	
	                  Malaysia	37,381,283	
	                  Maldives	493,390	
	                  Malta	4,614,521	
	                  Mariana, North.	67,329	
	                  Marshall Isl.	1,541,552	
	                  Martinique	43,157	
	                  Mauritius	4,636,936	
	                  Mexico	113,454,364	
	                  Moldova	3,661,088	
	                  Mongolia	203,741	
	                  Morocco	16,332,976	
	                  Mozambique	22,454	
	                  Namibia	25,646	
	                  Nepal	1,042,352	
	                  Netherlands	74,413,129	
	                  New Caledonia	28,603	
	                  New Zealand	4,076,218	
	                  Nicaragua	119,134	
	                  Niger	10	
	                  Nigeria	13,383,598	
	                  Norfolk Island	8,517	
	                  Norway	20,639,065	
	                  Oman	15,789,447	
	                  Pakistan	23,813,330	
	                  Palestine	3,303,754	
	                  Panama	56,783,772	
	                  Papua	5,951	
	                  Paraguay	6,538,017	
	                  Peru	3,883,272	
	                  Philippines	23,365,674	
	                  Poland	21,434,226	
	                  Polynesia, Fr.	326,005	
	                  Portugal	71,402,737	
	                  Qatar	63,935,638	
	                  Réunion	302,751	
	                  Romania	9,938,432	
	                  Russia	194,216,613	
	                  San Marino	43,334	
	                  Saudi Arabia	178,338,390	
	                  Senegal	22,768	
	                  Seychelles	223,242	
	                  Sierra Leone	55,141	
	                  Singapore	480,443,135	
	                  Slovakia	3,591,888	
	                  Slovenia	5,129,533	
	                  South Africa	27,937,680	
	                  Spain	408,147,549	
	                  Sri Lanka	1,162,608	
	                  St Kitts	687,411	
	                  St Lucia	2,981,062	
	                  Sudan	152,361	
	                  Suriname	103,331	
	                  Sweden	37,925,211	
	                  Syria	15,385,879	
	                  Taiwan	251,914,069	
	                  Tajikistan	22,100	
	                  Tanzania	213,700	
	                  Thailand	191,203,436	
	                  Trinidad	97,444	
	                  Tunisia	1,779,839	
	                  Turkey	101,106,481	
	                  Turkmenistan	131,629	
	                  Turks	1,351,188	
	                  Uganda	88,696	
	                  Ukraine	48,232,370	
	                  United Kingdom	583,728,646	
	                  Uruguay	12,199,392	
	                  USA	2,156,081,090	
	                  Uzbekistan	7,488,402	
	                  Venezuela	25,434,845	
	                  Viet Nam	1,996,149	
	                  Yemen	3,774,900	
	                  Zambia	228,471	
	                  Zimbabwe	81,335	
2006	                  Afghanistan	4,588	
	                  Albania	449,247	
	                  Algeria	3,457,473	
	                  Am. Oceania	2,274,223	
	                  Amer. Virgin	38,446,836	
	                  Andorra	553,754	
	                  Angola	300,232	
	                  Antigua	3,510,004	
	                  Argentina	42,136,637	
	                  Armenia	1,467,890	
	                  Aruba	7,180,646	
	                  Australia	128,278,643	
	                  Austria	138,889,017	
	                  Azerbaijan	5,308,670	
	                  Bahamas	19,435,494	
	                  Bahrain	55,432,575	
	                  Bangladesh	680,803	
	                  Barbados	11,778,121	
	                  Belarus	2,810,044	
	                  Belgium	60,685,714	
	                  Belize	1,689,859	
	                  Benin	50	
	                  Bermuda	4,569,164	
	                  Bhutan	28,130	
	                  BIOT	20,440	
	                  Bolivia	1,216,220	
	                  Bosnia-Herzeg.	1,092,514	
	                  Botswana	58,658	
	                  Bouvet Island	207,730	
	                  Brazil	46,180,973	
	                  Brit. Virgin	20,334,480	
	                  Brunei	1,413,086	
	                  Bulgaria	6,918,255	
	                  Cabo Verde	1,455	
	                  Cambodia	941,152	
	                  Cameroon	20,908	
	                  Canada	80,248,171	
	                  Cayman Islands	21,055,500	
	                  Chad	3,197	
	                  Chile	9,904,721	
	                  China	404,056,689	
	                  Colombia	12,648,959	
	                  Congo, Rep. of	52,472	
	                  Congo (RDC)	13,000	
	                  Cook Islands	7,876	
	                  Costa Rica	3,919,500	
	                  Côte d'Ivoire	825,574	
	                  Croatia	7,563,572	
	                  Cuba	314,070	
	                  Cyprus	6,580,837	
	                  Czech Republic	11,788,020	
	                  Denmark	35,048,648	
	                  Djibouti	17,054	
	                  Dominica	316,140	
	                  Dominican Rep.	2,693,174	
	                  Ecuador	1,958,912	
	                  Egypt	30,406,518	
	                  El Salvador	675,123	
	                  Emirates, Arab	386,325,573	
	                  Eritrea	20	
	                  Estonia	1,445,718	
	                  Ethiopia	326,818	
	                  Finland	15,535,864	
	                  Fr. Southern T.	351,422	
	                  France	814,650,908	
	                  Gabon	692,716	
	                  Georgia	730,208	
	                  Germany	768,606,228	
	                  Ghana	151,777	
	                  Gibraltar	788,759	
	                  Greece	92,989,783	
	                  Guadeloupe	7,510,776	
	                  Guam	14,517,392	
	                  Guatemala	2,709,418	
	                  Guiana, French	35,501	
	                  Guinea	44,908	
	                  Guinea, Equat.	1,700	
	                  Haiti	167,247	
	                  Honduras	543,946	
	                  Hong Kong	1,945,151,887	
	                  Hungary	22,955,149	
	                  Iceland	2,952,315	
	                  India	60,325,660	
	                  Indonesia	2,955,842	
	                  Iran	25,778,239	
	                  Iraq	1,863,376	
	                  Ireland	5,321,325	
	                  Israel	54,976,216	
	                  Italy	906,342,828	
	                  Jamaica	12,245,881	
	                  Japan	1,267,282,679	
	                  Jordan	29,326,426	
	                  Kazakhstan	16,541,896	
	                  Kenya	952,365	
	                  Korea (North)	16,642	
	                  Korea (South)	109,721,989	
	                  Kosovo	12,463	
	                  Kuwait	67,707,378	
	                  Kyrgyz, Rep.	807,489	
	                  Laos	4,292	
	                  Latvia	6,022,051	
	                  Lebanon	22,824,294	
	                  Liberia	13,849,507	
	                  Libya	7,862,762	
	                  Lithuania	3,150,474	
	                  Luxembourg	4,417,031	
	                  Macau	1,305,066	
	                  Macedonia	435,177	
	                  Madagascar	87,001	
	                  Malaysia	37,534,502	
	                  Maldives	886,809	
	                  Mali	131,381	
	                  Malta	6,110,766	
	                  Mariana, North.	48,469	
	                  Marshall Isl.	1,143,978	
	                  Martinique	17,135	
	                  Mauritania	39,867	
	                  Mauritius	4,065,966	
	                  Mayotte	5,348	
	                  Mexico	160,752,532	
	                  Miquelon	60,490	
	                  Moldova	7,094,926	
	                  Mongolia	309,291	
	                  Montenegro	165,387	
	                  Morocco	27,765,597	
	                  Mozambique	18,906	
	                  Namibia	162,764	
	                  Nepal	2,198,204	
	                  Netherlands	72,419,932	
	                  New Caledonia	55,244	
	                  New Zealand	3,426,935	
	                  Nicaragua	71,576	
	                  Niger	66,649	
	                  Nigeria	9,927,158	
	                  Norway	22,949,963	
	                  Oman	27,227,269	
	                  Pakistan	29,745,910	
	                  Palestine	1,604,892	
	                  Panama	59,248,197	
	                  Paraguay	4,575,455	
	                  Peru	5,424,020	
	                  Philippines	13,553,252	
	                  Poland	21,941,729	
	                  Polynesia, Fr.	90,812	
	                  Portugal	74,659,809	
	                  Qatar	71,213,174	
	                  Réunion	367,054	
	                  Romania	12,416,323	
	                  Russia	204,583,443	
	                  Sao Tomé	12,778	
	                  Saudi Arabia	178,800,105	
	                  Senegal	110,069	
	                  Serbia	3,071,964	
	                  Seychelles	3,026	
	                  Sierra Leone	400	
	                  Singapore	538,813,504	
	                  Slovakia	4,175,141	
	                  Slovenia	5,076,719	
	                  South Africa	33,335,427	
	                  Spain	471,964,996	
	                  Sri Lanka	964,373	
	                  St Kitts	506,424	
	                  St Lucia	1,937,421	
	                  Sudan	228,627	
	                  Suriname	52,935	
	                  Swaziland	45,485	
	                  Sweden	43,536,401	
	                  Syria	20,174,880	
	                  Taiwan	256,493,609	
	                  Tajikistan	121,659	
	                  Tanzania	230,792	
	                  Thailand	202,737,762	
	                  Trinidad	150,965	
	                  Tunisia	1,948,880	
	                  Turkey	115,252,130	
	                  Turkmenistan	145,297	
	                  Turks	2,809,203	
	                  Uganda	63,119	
	                  Ukraine	74,542,610	
	                  United Kingdom	590,076,741	
	                  Uruguay	13,948,322	
	                  USA	2,287,377,967	
	                  Uzbekistan	8,190,453	
	                  Venezuela	34,066,417	
	                  Viet Nam	1,905,840	
	                  Yemen	4,058,218	
	                  Zambia	227,054	
	                  Zimbabwe	109,130	
2007	                  Afghanistan	3,314	
	                  Albania	521,036	
	                  Algeria	3,558,395	
	                  Am. Oceania	473,499	
	                  Amer. Virgin	44,294,691	
	                  Andorra	862,887	
	                  Angola	1,037,274	
	                  Anguilla	297,991	
	                  Antigua	4,046,130	
	                  Argentina	55,880,738	
	                  Armenia	2,920,430	
	                  Aruba	13,196,993	
	                  Australia	135,286,376	
	                  Austria	168,243,165	
	                  Azerbaijan	10,031,364	
	                  Bahamas	24,859,268	
	                  Bahrain	62,535,783	
	                  Bangladesh	704,086	
	                  Barbados	13,739,201	
	                  Belarus	3,214,637	
	                  Belgium	71,987,887	
	                  Belize	4,308,705	
	                  Benin	50	
	                  Bermuda	3,453,443	
	                  Bhutan	24,468	
	                  Bolivia	1,970,717	
	                  Bosnia-Herzeg.	1,090,681	
	                  Botswana	237,673	
	                  Bouvet Island	833,583	
	                  Brazil	57,720,640	
	                  Brit. Virgin	16,875,840	
	                  Brunei	1,398,955	
	                  Bulgaria	11,438,413	
	                  Cambodia	2,783,831	
	                  Cameroon	9,723	
	                  Canada	88,850,936	
	                  Canary Islands	9,206	
	                  Cayman Islands	19,005,721	
	                  Chad	250	
	                  Chile	12,827,740	
	                  China	577,608,351	
	                  Colombia	15,299,930	
	                  Congo, Rep. of	79,923	
	                  Congo (RDC)	36,600	
	                  Costa Rica	4,225,304	
	                  Côte d'Ivoire	1,138,038	
	                  Croatia	9,031,386	
	                  Cuba	406,788	
	                  Cyprus	9,212,723	
	                  Czech Republic	17,617,770	
	                  Denmark	36,145,468	
	                  Djibouti	2,897	
	                  Dominica	362,516	
	                  Dominican Rep.	3,603,426	
	                  Ecuador	2,364,928	
	                  Egypt	37,120,583	
	                  El Salvador	630,933	
	                  Emirates, Arab	527,559,162	
	                  Estonia	1,519,798	
	                  Ethiopia	250,703	
	                  Finland	18,712,921	
	                  Fr. Southern T.	371,616	
	                  France	982,735,277	
	                  Gabon	596,049	
	                  Gambia	6,542	
	                  Georgia	1,014,670	
	                  Germany	828,817,916	
	                  Ghana	612,945	
	                  Gibraltar	374,490	
	                  Greece	109,702,881	
	                  Greenland	5,533	
	                  Guadeloupe	6,823,335	
	                  Guam	9,949,305	
	                  Guatemala	2,994,086	
	                  Guiana, French	83,132	
	                  Guinea	51,773	
	                  Guinea, Equat.	22,345	
	                  Guinea-Bissau	3,700	
	                  Haiti	65,809	
	                  Heard	934,768	
	                  Honduras	959,356	
	                  Hong Kong	2,432,091,067	
	                  Hungary	19,777,706	
	                  Iceland	4,912,010	
	                  India	68,481,838	
	                  Indonesia	4,458,915	
	                  Iran	36,789,869	
	                  Iraq	2,443,237	
	                  Ireland	6,780,145	
	                  Israel	69,388,955	
	                  Italy	1,019,400,612	
	                  Jamaica	11,487,448	
	                  Japan	1,207,350,708	
	                  Jordan	33,437,620	
	                  Kazakhstan	24,022,953	
	                  Kenya	4,355,986	
	                  Korea (North)	66,789	
	                  Korea (South)	130,817,507	
	                  Kosovo	22,288	
	                  Kuwait	72,628,874	
	                  Kyrgyz, Rep.	605,627	
	                  Latvia	7,299,165	
	                  Lebanon	28,825,618	
	                  Liberia	9,144,567	
	                  Libya	8,242,175	
	                  Lithuania	4,307,939	
	                  Luxembourg	5,939,991	
	                  Macau	3,815,452	
	                  Macedonia	583,456	
	                  Madagascar	106,202	
	                  Malaysia	65,473,289	
	                  Maldives	1,312,286	
	                  Mali	7,388	
	                  Malta	7,568,655	
	                  Mariana, North.	85,677	
	                  Marshall Isl.	1,347,000	
	                  Martinique	2,475	
	                  Mauritius	4,373,311	
	                  Mayotte	2,372	
	                  Mexico	204,823,762	
	                  Moldova	6,657,698	
	                  Mongolia	365,471	
	                  Montenegro	218,783	
	                  Morocco	31,045,537	
	                  Mozambique	8,950	
	                  Namibia	186,129	
	                  Nepal	2,437,951	
	                  Netherlands	87,161,667	
	                  New Caledonia	60,682	
	                  New Zealand	3,221,462	
	                  Nicaragua	50,013	
	                  Niger	189,274	
	                  Nigeria	5,387,475	
	                  Norway	29,515,969	
	                  Oman	42,031,640	
	                  Pakistan	16,872,486	
	                  Panama	73,330,438	
	                  Papua	7,099	
	                  Paraguay	2,967,776	
	                  Peru	11,690,177	
	                  Philippines	25,496,615	
	                  Poland	37,395,970	
	                  Polynesia, Fr.	37,221	
	                  Portugal	84,665,125	
	                  Qatar	70,262,762	
	                  Réunion	500,430	
	                  Romania	20,744,525	
	                  Russia	322,077,930	
	                  Saint Helena	53,844	
	                  Saudi Arabia	192,937,555	
	                  Senegal	372,253	
	                  Serbia	8,114,539	
	                  Seychelles	7,547	
	                  Sierra Leone	34,411	
	                  Singapore	670,012,844	
	                  Slovakia	5,645,362	
	                  Slovenia	7,340,611	
	                  Somalia	549	
	                  South Africa	43,103,890	
	                  Spain	523,277,233	
	                  Sri Lanka	1,618,369	
	                  St Kitts	356,077	
	                  St Lucia	3,859,563	
	                  St Vincent	7,267	
	                  Sudan	324,414	
	                  Sweden	52,798,854	
	                  Syria	43,872,954	
	                  Taiwan	275,448,595	
	                  Tajikistan	378,748	
	                  Tanzania	273,822	
	                  Thailand	237,110,164	
	                  Togo	323,040	
	                  Trinidad	68,555	
	                  Tunisia	3,312,555	
	                  Turkey	163,846,311	
	                  Turkmenistan	402,667	
	                  Turks	4,526,762	
	                  Uganda	57,534	
	                  Ukraine	101,561,640	
	                  United Kingdom	658,533,891	
	                  Uruguay	10,335,307	
	                  USA	2,441,130,010	
	                  Uzbekistan	8,873,609	
	                  Venezuela	35,958,944	
	                  Viet Nam	3,338,791	
	                  Yemen	4,429,162	
	                  Zambia	215,609	
	                  Zimbabwe	61,840	
2008	                  Afghanistan	2,082	
	                  Albania	954,180	
	                  Algeria	6,585,041	
	                  Am. Oceania	358,988	
	                  Am. Samoa	241,963	
	                  Amer. Virgin	28,101,405	
	                  Andorra	653,307	
	                  Angola	2,891,368	
	                  Anguilla	141,235	
	                  Antigua	4,171,855	
	                  Argentina	54,787,654	
	                  Armenia	2,106,994	
	                  Aruba	12,285,003	
	                  Australia	135,622,000	
	                  Austria	181,563,621	
	                  Azerbaijan	15,986,399	
	                  Bahamas	17,222,856	
	                  Bahrain	59,791,893	
	                  Bangladesh	990,634	
	                  Barbados	16,146,851	
	                  Belarus	4,124,541	
	                  Belgium	78,993,399	
	                  Belize	6,384,080	
	                  Bermuda	3,475,139	
	                  Bhutan	56,539	
	                  Bolivia	1,494,109	
	                  Bosnia-Herzeg.	2,164,478	
	                  Bouvet Island	696,380	
	                  Brazil	61,592,882	
	                  Brit. Virgin	14,205,058	
	                  Brunei	1,252,334	
	                  Bulgaria	15,899,194	
	                  Cambodia	2,152,962	
	                  Cameroon	35,121	
	                  Canada	99,065,800	
	                  Canary Islands	12,977	
	                  Cayman Islands	15,443,030	
	                  Chile	12,357,943	
	                  China	826,320,769	
	                  Colombia	15,622,728	
	                  Congo, Rep. of	23,704	
	                  Congo (RDC)	138,317	
	                  Costa Rica	5,538,666	
	                  Côte d'Ivoire	347,902	
	                  Croatia	7,651,675	
	                  Cuba	537,221	
	                  Cyprus	11,477,854	
	                  Czech Republic	20,926,307	
	                  Denmark	38,509,712	
	                  Djibouti	51,296	
	                  Dominica	585,377	
	                  Dominican Rep.	3,817,298	
	                  East Timor	8,844	
	                  Ecuador	3,307,756	
	                  Egypt	43,306,390	
	                  El Salvador	650,275	
	                  Emirates, Arab	672,915,274	
	                  Estonia	1,114,746	
	                  Ethiopia	444,600	
	                  Finland	19,857,037	
	                  Fr. Southern T.	180,880	
	                  France	1,131,993,849	
	                  Gabon	767,447	
	                  Gambia	332,579	
	                  Georgia	2,885,406	
	                  Germany	912,929,889	
	                  Ghana	143,270	
	                  Gibraltar	689,341	
	                  Greece	122,397,756	
	                  Guadeloupe	7,447,549	
	                  Guam	9,101,149	
	                  Guatemala	4,041,415	
	                  Guiana, French	8,210	
	                  Guinea	61,349	
	                  Haiti	75,074	
	                  Honduras	1,109,051	
	                  Hong Kong	2,698,408,071	
	                  Hungary	12,527,926	
	                  Iceland	4,036,412	
	                  India	84,482,719	
	                  Indonesia	5,606,941	
